city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Stayton,2024-03-02 06:00:00,USA,1,2,p2,p2,90,10n,994,3,160,2.06,-122.710843,44.809371,Oregon
Marana,2024-03-02 08:00:00,USA,17,15,p1,p2,58,04n,1018,13,110,4.12,-111.30806,32.508308,Arizona
Albany,2024-03-02 06:00:00,USA,3,10,p2,p2,49,01n,1006,2,214,8.59,-105.72391,41.65447,Wyoming
Columbia Falls,2024-03-01 16:00:00,USA,1,3,p2,p2,74,01d,1002,1,160,4.12,-114.189272,48.363694,Montana
Tybee Island,2024-03-01 10:00:00,USA,8,23,p2,p2,59,04n,1026,10,41,8.45,-80.84567,32.00022,Georgia
Casper,2024-03-02 08:00:00,USA,3,9,p2,p2,93,01n,1004,-1,300,2.57,-106.36501,42.82231,Wyoming
Mansfield City,2024-03-01 16:00:00,USA,9,27,p2,p2,51,01d,1037,0,250,4.12,-72.23369,41.76593,Connecticut
Woodland Park,2024-03-01 16:00:00,USA,5,16,p2,p2,25,04d,1012,4,234,3.13,-105.094362,38.978132,Colorado
Felton,2024-03-02 08:00:00,USA,7,21,p2,p2,94,10n,1028,5,80,2.06,-75.5556,38.9847,Delaware
McLean,2024-03-01 11:00:00,USA,7,19,p2,p2,65,01n,1035,-1,0,0.0,-77.17748,38.93428,Virginia
Stilwell,2024-03-02 07:00:00,USA,15,39,p1,p2,86,01n,1018,6,137,1.98,-94.669701,35.750599,Oklahoma
